    ,symbol ,name                                   ,sector                 ,sub_sector                                              ,hq                                            ,date_added  ,founded        ,market_cap    ,mkh
325 ,TER    ,Teradyne                               ,Information Technology ,Semiconductor Materials & Equipment                     ,"North Reading, Massachusetts"                ,2020-09-21  ,1960           ,  22550378400 ,22.6B
326 ,ZBH    ,Zimmer Biomet                          ,Health Care            ,Health Care Equipment                                   ,"Warsaw, Indiana"                             ,2001-08-07  ,1927           ,  22471669440 ,22.5B
327 ,FE     ,FirstEnergy                            ,Utilities              ,Electric Utilities                                      ,"Akron, Ohio"                                 ,1997-11-28  ,1997           ,  22341531120 ,22.3B
328 ,STE    ,Steris                                 ,Health Care            ,Health Care Equipment                                   ,"Dublin, Ireland"                             ,2019-12-23  ,1985           ,  22296016000 ,22.3B
329 ,AXON   ,Axon Enterprise                        ,Industrials            ,Aerospace & Defense                                     ,"Scottsdale, Arizona"                         ,2023-05-04  ,1993           ,  21659841072 ,21.7B
330 ,INVH   ,Invitation Homes                       ,Real Estate            ,Single-Family Residential REITs                         ,"Dallas, Texas"                               ,2022-09-19  ,2012           ,  21500013600 ,21.5B
331 ,STT    ,State Street Corporation               ,Financials             ,Asset Management & Custody Banks                        ,"Boston, Massachusetts"                       ,2003-03-14  ,1792           ,  21428552670 ,21.4B
332 ,STX    ,Seagate Technology                     ,Information Technology ,"Technology Hardware, Storage & Peripherals"            ,"Dublin, Ireland"                             ,2012-07-02  ,1979           ,  21343281960 ,21.3B
333 ,WY     ,Weyerhaeuser                           ,Real Estate            ,Timber REITs                                            ,"Seattle, Washington"                         ,1979-10-01  ,1900           ,  21243555380 ,21.2B
334 ,BALL   ,Ball Corporation                       ,Materials              ,"Metal, Glass & Plastic Containers"                     ,"Broomfield, Colorado"                        ,1984-10-31  ,1880           ,  21062251080 ,21.1B
335 ,CTRA   ,Coterra                                ,Energy                 ,Oil & Gas Exploration & Production                      ,"Houston, Texas"                              ,2008-06-23  ,2021           ,  21054351570 ,21.1B
336 ,PPL    ,PPL Corporation                        ,Utilities              ,Electric Utilities                                      ,"Allentown, Pennsylvania"                     ,2001-10-01  ,1920           ,  20914957350 ,20.9B
337 ,PTC    ,PTC                                    ,Information Technology ,Application Software                                    ,"Boston, Massachusetts"                       ,2021-04-20  ,1985           ,  20895328000 ,20.9B
338 ,ES     ,Eversource                             ,Utilities              ,Electric Utilities                                      ,"Hartford, Connecticut"                       ,2009-07-24  ,1966           ,  20814747950 ,20.8B
339 ,APTV   ,Aptiv                                  ,Consumer Discretionary ,Automotive Parts & Equipment                            ,"Dublin, Ireland"                             ,2012-12-24  ,1994           ,  20752889360 ,20.8B
340 ,SBAC   ,SBA Communications                     ,Real Estate            ,Telecom Tower REITs                                     ,"Boca Raton, Florida"                         ,2017-09-01  ,1989           ,  20666661050 ,20.7B
341 ,LYV    ,Live Nation Entertainment              ,Communication Services ,Movies & Entertainment                                  ,"Beverly Hills, California"                   ,2019-12-23  ,2010           ,  20626416320 ,20.6B
342 ,CCL    ,Carnival                               ,Consumer Discretionary ,"Hotels, Resorts & Cruise Lines"                        ,"Miami, Florida"                              ,1998-12-22  ,1972           ,  20510895867 ,20.5B
343 ,TYL    ,Tyler Technologies                     ,Information Technology ,Application Software                                    ,"Plano, Texas"                                ,2020-06-22  ,1966           ,  20462180941 ,20.5B
344 ,K      ,Kellanova                              ,Consumer Staples       ,Packaged Foods & Meats                                  ,"Chicago, Illinois"                           ,1989-09-11  ,1906           ,  20413893640 ,20.4B
345 ,BF-B   ,Brown–Forman                           ,Consumer Staples       ,Distillers & Vintners                                   ,"Louisville, Kentucky"                        ,1982-10-31  ,1870           ,  20386571630 ,20.4B
346 ,VTR    ,Ventas                                 ,Real Estate            ,Health Care REITs                                       ,"Chicago, Illinois"                           ,2009-03-04  ,1998           ,  20072742660 ,20.1B
347 ,WRB    ,W. R. Berkley Corporation              ,Financials             ,Property & Casualty Insurance                           ,"Greenwich, Connecticut"                      ,2019-12-05  ,1967           ,  20059240520 ,20.1B
348 ,ARE    ,Alexandria Real Estate Equities        ,Real Estate            ,Office REITs                                            ,"Pasadena, California"                        ,2017-03-20  ,1994           ,  19859713480 ,19.9B
349 ,GPC    ,Genuine Parts Company                  ,Consumer Discretionary ,Distributors                                            ,"Atlanta, Georgia"                            ,1973-12-31  ,1925           ,  19786029960 ,19.8B
350 ,HUBB   ,Hubbell Incorporated                   ,Industrials            ,Industrial Machinery & Supplies & Components            ,"Shelton, Connecticut"                        ,2023-10-18  ,1888           ,  19740879060 ,19.7B
351 ,CNP    ,CenterPoint Energy                     ,Utilities              ,Multi-Utilities                                         ,"Houston, Texas"                              ,1985-07-31  ,1882           ,  19716293680 ,19.7B
352 ,WBD    ,Warner Bros. Discovery                 ,Communication Services ,Broadcasting                                            ,"New York City, New York"                     ,2022-04-11  ,2022           ,  19700492400 ,19.7B
353 ,TSN    ,Tyson Foods                            ,Consumer Staples       ,Packaged Foods & Meats                                  ,"Springdale, Arkansas"                        ,2005-08-10  ,1935           ,  19447615998 ,19.4B
354 ,LDOS   ,Leidos                                 ,Industrials            ,Diversified Support Services                            ,"Reston, Virginia"                            ,2019-08-09  ,1969           ,  19440781360 ,19.4B
355 ,STLD   ,Steel Dynamics                         ,Materials              ,Steel                                                   ,"Fort Wayne, Indiana"                         ,2022-12-22  ,1993           ,  19096373490 ,19.1B
356 ,ALGN   ,Align Technology                       ,Health Care            ,Health Care Supplies                                    ,"Tempe, Arizona"                              ,2017-06-19  ,1997           ,  19067348976 ,19.1B
357 ,AEE    ,Ameren                                 ,Utilities              ,Multi-Utilities                                         ,"St. Louis, Missouri"                         ,1991-09-19  ,1902           ,  19058904900 ,19.1B
358 ,BBY    ,Best Buy                               ,Consumer Discretionary ,Computer & Electronics Retail                           ,"Richfield, Minnesota"                        ,1999-06-29  ,1966           ,  18846422720 ,18.8B
359 ,COO    ,CooperCompanies                        ,Health Care            ,Health Care Supplies                                    ,"San Ramon, California"                       ,2016-09-23  ,1958           ,  18671482400 ,18.7B
360 ,MKC    ,McCormick & Company                    ,Consumer Staples       ,Packaged Foods & Meats                                  ,"Hunt Valley, Maryland"                       ,2003-03-20  ,1889           ,  18567217872 ,18.6B
361 ,ULTA   ,Ulta Beauty                            ,Consumer Discretionary ,Other Specialty Retail                                  ,"Bolingbrook, Illinois"                       ,2016-04-18  ,1990           ,  18499171116 ,18.5B
362 ,DPZ    ,Domino's                               ,Consumer Discretionary ,Restaurants                                             ,"Ann Arbor, Michigan"                         ,2020-05-12  ,1960           ,  18415001590 ,18.4B
363 ,TDY    ,Teledyne Technologies                  ,Information Technology ,Electronic Equipment & Instruments                      ,"Thousand Oaks, California"                   ,2020-06-22  ,1960           ,  18406094925 ,18.4B
364 ,MOH    ,Molina Healthcare                      ,Health Care            ,Managed Health Care                                     ,"Long Beach, California"                      ,2022-03-02  ,1980           ,  18299608000 ,18.3B
365 ,CBOE   ,Cboe Global Markets                    ,Financials             ,Financial Exchanges & Data                              ,"Chicago, Illinois"                           ,2017-03-01  ,1973           ,  18240012840 ,18.2B
366 ,PFG    ,Principal Financial Group              ,Financials             ,Life & Health Insurance                                 ,"Des Moines, Iowa"                            ,2002-07-22  ,1879           ,  18209292960 ,18.2B
367 ,EQT    ,EQT                                    ,Energy                 ,Oil & Gas Exploration & Production                      ,"Pittsburgh, Pennsylvania"                    ,2022-10-03  ,1888           ,  18180383810 ,18.2B
368 ,AVY    ,Avery Dennison                         ,Materials              ,Paper & Plastic Packaging Products & Materials          ,"Mentor, Ohio"                                ,1987-12-31  ,1990           ,  18143042282 ,18.1B
369 ,VRSN   ,Verisign                               ,Information Technology ,Internet Services & Infrastructure                      ,"Dulles, Virginia"                            ,2006-02-01  ,1995           ,  18126204000 ,18.1B
370 ,CMS    ,CMS Energy                             ,Utilities              ,Multi-Utilities                                         ,"Jackson, Michigan"                           ,1957-03-04  ,1886           ,  18034567650 ,18.0B
371 ,CPAY   ,Corpay                                 ,Financials             ,Transaction & Payment Processing Services               ,"Atlanta, Georgia"                            ,2018-06-20  ,2000           ,  18032302470 ,18.0B
372 ,ENPH   ,Enphase                                ,Information Technology ,Semiconductor Materials & Equipment                     ,"Fremont, California"                         ,2021-01-07  ,2006           ,  18016101830 ,18.0B
373 ,ILMN   ,Illumina                               ,Health Care            ,Life Sciences Tools & Services                          ,"San Diego, California"                       ,2015-11-19  ,1998           ,  17935587000 ,17.9B
374 ,HBAN   ,Huntington Bancshares                  ,Financials             ,Regional Banks                                          ,"Columbus, Ohio; Detroit, Michigan"           ,1997-08-28  ,1866           ,  17898237500 ,17.9B
375 ,CINF   ,Cincinnati Financial                   ,Financials             ,Property & Casualty Insurance                           ,"Fairfield, Ohio"                             ,1997-12-18  ,1950           ,  17831956200 ,17.8B
376 ,WAT    ,Waters Corporation                     ,Health Care            ,Life Sciences Tools & Services                          ,"Milford, Massachusetts"                      ,2002-01-02  ,1958           ,  17825569850 ,17.8B
377 ,EXPD   ,Expeditors International               ,Industrials            ,Air Freight & Logistics                                 ,"Seattle, Washington"                         ,2007-10-10  ,1979           ,  17573161320 ,17.6B
378 ,OMC    ,Omnicom Group                          ,Communication Services ,Advertising                                             ,"New York City, New York"                     ,1997-12-31  ,1986           ,  17556518100 ,17.6B
379 ,BLDR   ,Builders FirstSource                   ,Industrials            ,Building Products                                       ,"Irving, Texas"                               ,2023-12-18  ,1998           ,  17512738360 ,17.5B
380 ,DRI    ,Darden Restaurants                     ,Consumer Discretionary ,Restaurants                                             ,"Orlando, Florida"                            ,1995-05-31  ,1938           ,  17499222990 ,17.5B
381 ,J      ,Jacobs Solutions                       ,Industrials            ,Construction & Engineering                              ,"Dallas, Texas"                               ,2007-10-26  ,1947           ,  17465961370 ,17.5B
382 ,ATO    ,Atmos Energy                           ,Utilities              ,Gas Utilities                                           ,"Dallas, Texas"                               ,2019-02-15  ,1906           ,  17464012750 ,17.5B
383 ,UAL    ,United Airlines Holdings               ,Industrials            ,Passenger Airlines                                      ,"Chicago, Illinois"                           ,2015-09-03  ,1967           ,  17114196150 ,17.1B
384 ,ESS    ,Essex Property Trust                   ,Real Estate            ,Multi-Family Residential REITs                          ,"San Mateo, California"                       ,2014-04-02  ,1971           ,  17056505324 ,17.1B
385 ,SYF    ,Synchrony Financial                    ,Financials             ,Consumer Finance                                        ,"Stamford, Connecticut"                       ,2015-11-18  ,2003           ,  17053573680 ,17.1B
386 ,HOLX   ,Hologic                                ,Health Care            ,Health Care Equipment                                   ,"Marlborough, Massachusetts"                  ,2016-03-30  ,1985           ,  17013183300 ,17.0B
387 ,NRG    ,NRG Energy                             ,Utilities              ,Independent Power Producers & Energy Traders            ,"Houston, Texas"                              ,2010-01-29  ,1992           ,  16896979800 ,16.9B
388 ,HRL    ,Hormel Foods                           ,Consumer Staples       ,Packaged Foods & Meats                                  ,"Austin, Minnesota"                           ,2009-03-04  ,1891           ,  16805548250 ,16.8B
389 ,LUV    ,Southwest Airlines                     ,Industrials            ,Passenger Airlines                                      ,"Dallas, Texas"                               ,1994-07-01  ,1967           ,  16786718850 ,16.8B
390 ,BAX    ,Baxter International                   ,Health Care            ,Health Care Equipment                                   ,"Deerfield, Illinois"                         ,1972-09-30  ,1931           ,  16749894600 ,16.7B
391 ,RF     ,Regions Financial Corporation          ,Financials             ,Regional Banks                                          ,"Birmingham, Alabama"                         ,1998-08-28  ,1971           ,  16658893130 ,16.7B
392 ,LH     ,LabCorp                                ,Health Care            ,Health Care Services                                    ,"Burlington, North Carolina"                  ,2004-11-01  ,1978           ,  16641242512 ,16.6B
393 ,JBHT   ,J.B. Hunt                              ,Industrials            ,Cargo Ground Transportation                             ,"Lowell, Arkansas"                            ,2015-07-01  ,1961           ,  16577566080 ,16.6B
394 ,PKG    ,Packaging Corporation of America       ,Materials              ,Paper & Plastic Packaging Products & Materials          ,"Lake Forest, Illinois"                       ,2017-07-26  ,1959           ,  16530913820 ,16.5B
395 ,EG     ,Everest Re                             ,Financials             ,Reinsurance                                             ,"Hamilton, Bermuda"                           ,2017-06-19  ,1973           ,  16475003620 ,16.5B
396 ,L      ,Loews Corporation                      ,Financials             ,Multi-line Insurance                                    ,"New York City, New York"                     ,1995-05-31  ,1959           ,  16421683020 ,16.4B
397 ,CLX    ,Clorox                                 ,Consumer Staples       ,Household Products                                      ,"Oakland, California"                         ,1969-03-31  ,1913           ,  16420137360 ,16.4B
398 ,NTRS   ,Northern Trust                         ,Financials             ,Asset Management & Custody Banks                        ,"Chicago, Illinois"                           ,1998-01-30  ,1889           ,  16334625280 ,16.3B
399 ,TXT    ,Textron                                ,Industrials            ,Aerospace & Defense                                     ,"Providence, Rhode Island"                    ,1978-12-31  ,1923           ,  16295229550 ,16.3B
400 ,MRO    ,Marathon Oil                           ,Energy                 ,Oil & Gas Exploration & Production                      ,"Houston, Texas"                              ,1957-03-04  ,1887           ,  16001701320 ,16.0B
401 ,MAA    ,Mid-America Apartment Communities      ,Real Estate            ,Multi-Family Residential REITs                          ,"Memphis, Tennessee"                          ,2016-12-02  ,1977           ,  16001657220 ,16.0B
402 ,CE     ,Celanese                               ,Materials              ,Specialty Chemicals                                     ,"Irving, Texas"                               ,2018-12-24  ,1918           ,  15839084400 ,15.8B
403 ,NWSA   ,News Corp (Class A)                    ,Communication Services ,Publishing                                              ,"New York City, New York"                     ,2013-08-01  ,2013           ,  15705290765 ,15.7B
404 ,NWS    ,News Corp (Class B)                    ,Communication Services ,Publishing                                              ,"New York City, New York"                     ,2015-09-18  ,2013           ,  15658584498 ,15.7B
405 ,IP     ,International Paper                    ,Materials              ,Paper & Plastic Packaging Products & Materials          ,"Memphis, Tennessee"                          ,1957-03-04  ,1898           ,  15647306600 ,15.6B
406 ,DGX    ,Quest Diagnostics                      ,Health Care            ,Health Care Services                                    ,"Secaucus, New Jersey"                        ,2002-12-12  ,1967           ,  15637309920 ,15.6B
407 ,EXPE   ,Expedia Group                          ,Consumer Discretionary ,"Hotels, Resorts & Cruise Lines"                        ,"Seattle, Washington"                         ,2007-10-02  ,1996           ,  15587822130 ,15.6B
408 ,FDS    ,FactSet                                ,Financials             ,Financial Exchanges & Data                              ,"Norwalk, Connecticut"                        ,2021-12-20  ,1978           ,  15561156508 ,15.6B
409 ,ZBRA   ,Zebra Technologies                     ,Information Technology ,Electronic Equipment & Instruments                      ,"Lincolnshire, Illinois"                      ,2019-12-23  ,1969           ,  15496778772 ,15.5B
410 ,CFG    ,Citizens Financial Group               ,Financials             ,Regional Banks                                          ,"Providence, Rhode Island"                    ,2016-01-29  ,1828           ,  15457029400 ,15.5B
411 ,SWKS   ,Skyworks Solutions                     ,Information Technology ,Semiconductors                                          ,"Irvine, California"                          ,2015-03-12  ,2002           ,  15438210340 ,15.4B
412 ,IEX    ,IDEX Corporation                       ,Industrials            ,Industrial Machinery & Supplies & Components            ,"Lake Forest, Illinois"                       ,2019-08-09  ,1988           ,  15432021198 ,15.4B
413 ,GEN    ,Gen Digital                            ,Information Technology ,Systems Software                                        ,"Tempe, Arizona"                              ,2003-03-25  ,1982           ,  15252916560 ,15.3B
414 ,FOX    ,Fox Corporation (Class B)              ,Communication Services ,Broadcasting                                            ,"New York City, New York"                     ,2019-03-04  ,2019           ,  15044823574 ,15.0B
415 ,FOXA   ,Fox Corporation (Class A)              ,Communication Services ,Broadcasting                                            ,"New York City, New York"                     ,2019-03-04  ,2019           ,  15044823574 ,15.0B
416 ,BG     ,Bunge Global SA                        ,Consumer Staples       ,Agricultural Products & Services                        ,"Chesterfield, Missouri"                      ,2023-03-15  ,1818           ,  14997742400 ,15.0B
417 ,MAS    ,Masco                                  ,Industrials            ,Building Products                                       ,"Livonia, Michigan"                           ,1981-06-30  ,1929           ,  14800396800 ,14.8B
418 ,AMCR   ,Amcor                                  ,Materials              ,Paper & Plastic Packaging Products & Materials          ,"Warmley, Bristol, United Kingdom"            ,2019-06-07  ,2019           ,  14424493200 ,14.4B
419 ,JBL    ,Jabil                                  ,Information Technology ,Electronic Manufacturing Services                       ,"St. Petersburg, Florida"                     ,2023-12-18  ,1966           ,  14200296750 ,14.2B
420 ,AES    ,AES Corporation                        ,Utilities              ,Independent Power Producers & Energy Traders            ,"Arlington, Virginia"                         ,1998-10-02  ,1981           ,  14092526610 ,14.1B
421 ,CF     ,CF Industries                          ,Materials              ,Fertilizers & Agricultural Chemicals                    ,"Deerfield, Illinois"                         ,2008-08-27  ,1946           ,  14039485420 ,14.0B
422 ,SNA    ,Snap-on                                ,Industrials            ,Industrial Machinery & Supplies & Components            ,"Kenosha, Wisconsin"                          ,1982-09-30  ,1920           ,  13999924860 ,14.0B
423 ,CAG    ,Conagra Brands                         ,Consumer Staples       ,Packaged Foods & Meats                                  ,"Chicago, Illinois"                           ,1983-08-31  ,1919           ,  13978562120 ,14.0B
424 ,WBA    ,Walgreens Boots Alliance               ,Consumer Staples       ,Drug Retail                                             ,"Deerfield, Illinois"                         ,1979-12-31  ,2014           ,  13743018090 ,13.7B
425 ,AKAM   ,Akamai                                 ,Information Technology ,Internet Services & Infrastructure                      ,"Cambridge, Massachusetts"                    ,2007-07-12  ,1998           ,  13664358070 ,13.7B
426 ,RVTY   ,Revvity                                ,Health Care            ,Health Care Equipment                                   ,"Waltham, Massachusetts"                      ,1985-05-31  ,1937           ,  13536212100 ,13.5B
427 ,DOC    ,Healthpeak                             ,Real Estate            ,Health Care REITs                                       ,"Denver, Colorado"                            ,2008-03-31  ,1985           ,  13505576580 ,13.5B
428 ,TRMB   ,Trimble Inc.                           ,Information Technology ,Electronic Equipment & Instruments                      ,"Westminster, Colorado"                       ,2021-01-21  ,1978           ,  13504702400 ,13.5B
429 ,PODD   ,Insulet                                ,Health Care            ,Health Care Equipment                                   ,"Acton, Massachusetts"                        ,2023-03-15  ,2000           ,  13458790320 ,13.5B
430 ,ALB    ,Albemarle Corporation                  ,Materials              ,Specialty Chemicals                                     ,"Charlotte, North Carolina"                   ,2016-07-01  ,1994           ,  13394552190 ,13.4B
431 ,INCY   ,Incyte                                 ,Health Care            ,Biotechnology                                           ,"Wilmington, Delaware"                        ,2017-02-28  ,1991           ,  13374375400 ,13.4B
432 ,POOL   ,Pool Corporation                       ,Consumer Discretionary ,Distributors                                            ,"Covington, Louisiana"                        ,2020-10-07  ,1993           ,  13131830168 ,13.1B
433 ,WRK    ,WestRock                               ,Materials              ,Paper & Plastic Packaging Products & Materials          ,"Atlanta, Georgia"                            ,2015-06-25  ,2015           ,  12943540720 ,12.9B
434 ,UDR    ,"UDR, Inc."                            ,Real Estate            ,Multi-Family Residential REITs                          ,"Highlands Ranch, Colorado"                   ,2016-03-07  ,1972           ,  12941765100 ,12.9B
435 ,PNR    ,Pentair                                ,Industrials            ,Industrial Machinery & Supplies & Components            ,"Worsley, United Kingdom"                     ,2012-10-01  ,1966           ,  12936668000 ,12.9B
436 ,NDSN   ,Nordson Corporation                    ,Industrials            ,Industrial Machinery & Supplies & Components            ,"Westlake, Ohio"                              ,2022-02-15  ,1935           ,  12925568160 ,12.9B
437 ,SWK    ,Stanley Black & Decker                 ,Industrials            ,Industrial Machinery & Supplies & Components            ,"New Britain, Connecticut"                    ,1982-09-30  ,1843           ,  12878133510 ,12.9B
438 ,CPB    ,Campbell Soup Company                  ,Consumer Staples       ,Packaged Foods & Meats                                  ,"Camden, New Jersey"                          ,1957-03-04  ,1869           ,  12867677400 ,12.9B
439 ,LNT    ,Alliant Energy                         ,Utilities              ,Electric Utilities                                      ,"Madison, Wisconsin"                          ,2016-07-01  ,1917           ,  12867662010 ,12.9B
440 ,MGM    ,MGM Resorts                            ,Consumer Discretionary ,Casinos & Gaming                                        ,"Paradise, Nevada"                            ,2017-07-26  ,1986           ,  12788733600 ,12.8B
441 ,NI     ,NiSource                               ,Utilities              ,Multi-Utilities                                         ,"Merrillville, Indiana"                       ,2000-11-02  ,1912           ,  12695997600 ,12.7B
442 ,HST    ,Host Hotels & Resorts                  ,Real Estate            ,Hotel & Resort REITs                                    ,"Bethesda, Maryland"                          ,2007-03-20  ,1993           ,  12669640680 ,12.7B
443 ,VTRS   ,Viatris                                ,Health Care            ,Pharmaceuticals                                         ,"Pittsburgh, Pennsylvania"                    ,2004-04-23  ,1961           ,  12668835200 ,12.7B
444 ,KEY    ,KeyCorp                                ,Financials             ,Regional Banks                                          ,"Cleveland, Ohio"                             ,1994-03-01  ,1825           ,  12653181200 ,12.7B
445 ,LW     ,Lamb Weston                            ,Consumer Staples       ,Packaged Foods & Meats                                  ,"Eagle, Idaho"                                ,2018-12-03  ,2016           ,  12550465720 ,12.6B
446 ,KIM    ,Kimco Realty                           ,Real Estate            ,Retail REITs                                            ,"New Hyde Park, New York"                     ,2006-04-04  ,1958           ,  12336322800 ,12.3B
447 ,DVA    ,DaVita Inc.                            ,Health Care            ,Health Care Services                                    ,"Denver, Colorado"                            ,2008-07-31  ,1979           ,  12265722000 ,12.3B
448 ,EVRG   ,Evergy                                 ,Utilities              ,Electric Utilities                                      ,"Kansas City, Missouri"                       ,2018-06-05  ,1909           ,  12250617120 ,12.3B
449 ,EMN    ,Eastman Chemical Company               ,Materials              ,Specialty Chemicals                                     ,"Kingsport, Tennessee"                        ,1994-01-01  ,1920           ,  12171910500 ,12.2B
450 ,TECH   ,Bio-Techne                             ,Health Care            ,Life Sciences Tools & Services                          ,"Minneapolis, Minnesota"                      ,2021-08-30  ,1976           ,  12116710650 ,12.1B
451 ,SJM    ,J.M. Smucker Company (The)             ,Consumer Staples       ,Packaged Foods & Meats                                  ,"Orrville, Ohio"                              ,2008-11-06  ,1897           ,  11994702720 ,12.0B
452 ,AOS    ,A. O. Smith                            ,Industrials            ,Building Products                                       ,"Milwaukee, Wisconsin"                        ,2017-07-26  ,1916           ,  11966895620 ,12.0B
453 ,BEN    ,Franklin Templeton                     ,Financials             ,Asset Management & Custody Banks                        ,"San Mateo, California"                       ,1998-04-30  ,1947           ,  11816003860 ,11.8B
454 ,JKHY   ,Jack Henry & Associates                ,Financials             ,Transaction & Payment Processing Services               ,"Monett, Missouri"                            ,2018-11-13  ,1976           ,  11775537000 ,11.8B
455 ,RL     ,Ralph Lauren Corporation               ,Consumer Discretionary ,"Apparel, Accessories & Luxury Goods"                   ,"New York City, New York"                     ,2007-02-02  ,1967           ,  11649619254 ,11.6B
456 ,JNPR   ,Juniper Networks                       ,Information Technology ,Communications Equipment                                ,"Sunnyvale, California"                       ,2006-06-02  ,1996           ,  11520824600 ,11.5B
457 ,IPG    ,Interpublic Group of Companies (The)   ,Communication Services ,Advertising                                             ,"New York City, New York"                     ,1992-10-01  ,1961           ,  11428398720 ,11.4B
458 ,CPT    ,Camden Property Trust                  ,Real Estate            ,Multi-Family Residential REITs                          ,"Houston, Texas"                              ,2022-04-04  ,1981           ,  11314017000 ,11.3B
459 ,REG    ,Regency Centers                        ,Real Estate            ,Retail REITs                                            ,"Jacksonville, Florida"                       ,2017-03-02  ,1963           ,  11197607400 ,11.2B
460 ,LKQ    ,LKQ Corporation                        ,Consumer Discretionary ,Distributors                                            ,"Chicago, Illinois"                           ,2016-05-23  ,1998           ,  11148569040 ,11.1B
461 ,UHS    ,Universal Health Services              ,Health Care            ,Health Care Facilities                                  ,"King of Prussia, Pennsylvania"               ,2014-09-20  ,1979           ,  11080936768 ,11.1B
462 ,APA    ,APA Corporation                        ,Energy                 ,Oil & Gas Exploration & Production                      ,"Houston, Texas"                              ,1997-07-28  ,1954           ,  11020690480 ,11.0B
463 ,CRL    ,Charles River Laboratories             ,Health Care            ,Life Sciences Tools & Services                          ,"Wilmington, Massachusetts"                   ,2021-05-14  ,1947           ,  10839607031 ,10.8B
464 ,KMX    ,CarMax                                 ,Consumer Discretionary ,Automotive Retail                                       ,"Richmond, Virginia"                          ,2010-06-28  ,1993           ,  10836683760 ,10.8B
465 ,TAP    ,Molson Coors Beverage Company          ,Consumer Staples       ,Brewers                                                 ,"Chicago, Illinois"                           ,1976-06-30  ,2005           ,  10813275833 ,10.8B
466 ,EPAM   ,EPAM Systems                           ,Information Technology ,IT Consulting & Other Services                          ,"Newtown, Pennsylvania"                       ,2021-12-14  ,1993           ,  10310167296 ,10.3B
467 ,WYNN   ,Wynn Resorts                           ,Consumer Discretionary ,Casinos & Gaming                                        ,"Paradise, Nevada"                            ,2008-11-14  ,2002           ,  10281393540 ,10.3B
468 ,ALLE   ,Allegion                               ,Industrials            ,Building Products                                       ,"Dublin, Ireland"                             ,2013-12-02  ,1908           ,  10257668517 ,10.3B
469 ,CTLT   ,Catalent                               ,Health Care            ,Pharmaceuticals                                         ,"Somerset, New Jersey"                        ,2020-09-21  ,2007           ,  10100493800 ,10.1B
470 ,BBWI   ,"Bath & Body Works, Inc."              ,Consumer Discretionary ,Other Specialty Retail                                  ,"Columbus, Ohio"                              ,1983-09-30  ,1963           ,   9978425700 ,9.98B
471 ,QRVO   ,Qorvo                                  ,Information Technology ,Semiconductors                                          ,"Greensboro, North Carolina"                  ,2015-06-11  ,2015           ,   9952120437 ,9.95B
472 ,CHRW   ,CH Robinson                            ,Industrials            ,Air Freight & Logistics                                 ,"Eden Prairie, Minnesota"                     ,2007-03-02  ,1905           ,   9888672750 ,9.89B
473 ,TPR    ,"Tapestry, Inc."                       ,Consumer Discretionary ,"Apparel, Accessories & Luxury Goods"                   ,"New York City, New York"                     ,"2004-09-01
                                                                                                                                                                                   "           ,2017           ,   9884834460 ,9.88B
474 ,FFIV   ,"F5, Inc."                             ,Information Technology ,Communications Equipment                                ,"Seattle, Washington"                         ,2010-12-20  ,1996           ,   9765245354 ,9.77B
475 ,SOLV   ,Solventum                              ,Health Care            ,Health Care Technology                                  ,"Saint Paul, Minnesota"                       ,2024-04-01  ,2023           ,   9764995130 ,9.76B
476 ,TFX    ,Teleflex                               ,Health Care            ,Health Care Equipment                                   ,"Wayne, Pennsylvania"                         ,2019-01-18  ,1943           ,   9728571004 ,9.73B
477 ,HII    ,Huntington Ingalls Industries          ,Industrials            ,Aerospace & Defense                                     ,"Newport News, Virginia"                      ,2018-01-03  ,2011           ,   9643413515 ,9.64B
478 ,BXP    ,Boston Properties                      ,Real Estate            ,Office REITs                                            ,"Boston, Massachusetts"                       ,2006-04-03  ,1970           ,   9170675010 ,9.17B
479 ,MOS    ,Mosaic Company (The)                   ,Materials              ,Fertilizers & Agricultural Chemicals                    ,"Tampa, Florida"                              ,2011-09-26  ,2004           ,   9100581810 ,9.1B
480 ,AIZ    ,Assurant                               ,Financials             ,Multi-line Insurance                                    ,"Atlanta, Georgia"                            ,2007-04-10  ,1892           ,   8816791680 ,8.82B
481 ,PNW    ,Pinnacle West                          ,Utilities              ,Multi-Utilities                                         ,"Phoenix, Arizona"                            ,1999-10-04  ,1985           ,   8696348220 ,8.7B
482 ,HSIC   ,Henry Schein                           ,Health Care            ,Health Care Distributors                                ,"Melville, New York"                          ,2015-03-17  ,1932           ,   8516671943 ,8.52B
483 ,GNRC   ,Generac                                ,Industrials            ,Electrical Components & Equipment                       ,"Waukesha, Wisconsin"                         ,2021-03-22  ,1959           ,   8442979776 ,8.44B
484 ,MTCH   ,Match Group                            ,Communication Services ,Interactive Media & Services                            ,"Dallas, Texas"                               ,2021-09-20  ,1986           ,   8424332280 ,8.42B
485 ,PAYC   ,Paycom                                 ,Industrials            ,Human Resource & Employment Services                    ,"Oklahoma City, Oklahoma"                     ,2020-01-28  ,1998           ,   8332392900 ,8.33B
486 ,FRT    ,Federal Realty                         ,Real Estate            ,Retail REITs                                            ,"Rockville, Maryland"                         ,2016-02-01  ,1962           ,   8283646636 ,8.28B
487 ,HAS    ,Hasbro                                 ,Consumer Discretionary ,Leisure Products                                        ,"Pawtucket, Rhode Island"                     ,1984-09-30  ,1923           ,   8128822240 ,8.13B
